Msg Timestamp,Message,Time,Unit of Measurement,Timing Source,Event Level,Event Identifier
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45247,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44745,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44609,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44263,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47291,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45249,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44661,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44525,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44170,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,48002,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45213,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44625,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44489,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44152,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47238,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45191,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44691,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44555,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44208,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47734,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45571,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44943,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44810,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44476,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47960,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45292,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44653,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44516,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44173,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47148,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45412,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44779,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44643,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44282,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47512,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45164,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44665,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44530,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44186,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47420,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45461,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44826,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44689,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44346,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47770,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45370,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44728,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44590,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44241,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47856,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45429,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44796,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44660,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44311,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47481,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45395,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44762,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44629,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44296,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,48123,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45285,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44799,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44663,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44315,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47993,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45388,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44900,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44766,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44428,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47210,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45433,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44806,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44669,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44335,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,48006,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45385,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44745,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44607,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44264,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47426,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45242,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44668,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44532,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44183,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47300,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45317,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44690,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44554,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44214,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,48172,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45347,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44835,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44698,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44339,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47468,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45380,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44748,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44610,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44271,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,48348,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45399,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44771,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44636,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44292,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,48126,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45249,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44794,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44658,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44323,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,48025,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45481,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44984,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44847,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44502,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,48160,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,8,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,45211,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,44701,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,44564,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,44225,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,47358,US,BACKEND,ROOT,QNN (execute) time
